"","Site","N","K","p1","r1","p2","r2","thresh","maxsurv","surv.sm","alpha1","alpha2","beta1","beta2","incr.thresh","ex.slow","ex.fast","logistic.maxsurv","logistic.surv.sm","maxsize"
"2313","ituri",857,0.992860363654838,-32.310235815292,0.074648410471113,536.47793331103,-0.0340089154610255,64.8906404433584,0.992860363348257,0.952361771295066,1.38291252828998,8.36673470306979,4.26382135365905,4.71038083300733,1.1846090319085,0.312132467256292,1.68028771270323,4.93492814721345,2.99530941151065,324.453202216792
"2413","ituri",1642,0.987636114092609,-79.3981068957626,0.0347790961511165,684.594519650697,-0.0327673915831622,84.9034350242905,0.987635733804069,0.945575003812041,1.03083143509612,4.34922649003479,1.84363855666153,0.974020278812811,2.51766841391037,0.486446617192411,4.13223951977565,4.38050338532497,2.85496967501501,424.517175121453
"2513","ituri",802,0.982750568118989,-95.9891532744496,0.154784485875877,1109.69983168668,-0.0300974660682785,139.397591993264,0.982750568118989,0.978710681974066,1.20112702619374,6.18476316011187,3.19242263368331,2.17458413297973,1.59715513772446,0.353695153809868,2.62956668076669,4.04257613389196,3.82803062903235,696.987959966319
"2613","ituri",971,0.97967382212706,-91.8031273501631,0.156961437464771,1087.40069871023,-0.0284959922997092,138.781909402864,0.97967382212706,0.97496853198537,1.3181173719782,5.05373654205066,4.3768796189681,2.73703919706304,1.00310668248067,0.293279338754421,1.52591023001484,3.87531007601578,3.66227144166141,693.909547014318
"2713","ituri",275,0.990516376407969,-55.5566537483589,0.26928528735766,454.538865796792,-0.0352805544924463,55.7263385813578,0.990516376407969,0.989260564968202,1.51724853786557,5.69813451873962,4.57377691540627,3.13704992080261,1.08604974599449,0.313470327974076,1.59711462873614,4.64865992079804,4.52303527640285,278.631692906789
"2813","ituri",7099,0.984848902973482,-39.4946332269906,0.0797554267470655,380.725822544169,-0.0264891076037536,46.9573971516053,0.984848902346305,0.96634686752058,1.25511692599507,4.05861468344983,3.17559715681486,1.76204454480095,1.39199582958605,0.363598063437155,2.03993584184861,4.17441524905219,3.3574167040829,234.786985758027
"2913","ituri",1227,0.987635952981808,-30.547749179021,0.229739388490301,249.594050243007,-0.0395844497569969,28.7218998502442,0.987635952980954,0.985148801362175,1.47313971519609,2.19238187279943,4.34442841384847,1.00275407722784,1.12984264710776,0.320383007210943,1.77664993757115,4.38052133404203,4.19471211879213,143.609499251221
"3013","ituri",13386,0.989382518514901,-12.9649412988496,0.198204284468786,272.468953588992,-0.0227111636965878,35.9330584758974,0.989382518514896,0.979089835057801,1.40691830410014,4.15051089462722,3.20062506320562,1.99758877605124,1.36509459389051,0.391156425195123,1.87122059052535,4.53457919046903,3.84638799877531,179.665292379487
"3113","ituri",307,0.98775073256316,-33.5840784726466,0.303660125862869,247.893866801702,-0.0415434328800603,28.1561534490977,0.98775073256316,0.986380468653423,1.45282950271935,36.3669268184083,3.43110078356328,23.0678353345614,1.28847995232107,0.376166528125107,1.57178204515995,4.38996423681127,4.28253726009829,140.780767245488
"3213","ituri",2350,0.983989994938977,-19.5888173239642,0.262428547921368,426.464494029246,-0.0360105946704704,51.0632787119198,0.983989994938977,0.97953485316971,1.19523973781541,8.66380008881371,2.16905707871325,2.80907219838509,2.04402344622177,0.474383607645308,2.87973028809581,4.11840188613067,3.86835453474353,255.316393559599
